GeoName,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4
Alabama,5.6,-0.6,3.4,1.1,2.4,0.7,0.3,-3.7,3,3.7,0.1,-2.2,2.8,-3.2,-10.7,-4.6,-0.5,1.1,-1.4,1.9,5.4,6.6,-0.2,-4.4,2.9,2.7,4.6,0.4,1.2,-5.9,0.2,6.6,-1.4,2.8,-1.9,-5.6,4.1,5.1,-2.1,0.4,2.4,1.5,-0.7,2.1,2,-0.7,1.7,2.4,0.2,0.5,2.8
Alaska,5.9,-1.9,5.2,8.9,10.8,4.7,11.2,3.2,8.7,-1.4,-4.3,-4.8,-6.4,21.1,36.2,14.5,-7.1,-9,-2.5,-6.3,10.2,2.5,0.4,-11.7,16.7,6.3,18.4,-4.8,13.8,-3.3,-6.7,-2.9,-12.6,-0.2,-4.4,-7.5,-2.1,1.6,2.7,-3.9,-2,-3.7,-6,-3,-4.9,-0.9,-1.3,-0.5,-1,8.5,3.1
Arizona,9.3,9.4,2.4,8.5,1.6,6.8,6.1,-1.9,4.2,3.7,-4.9,-2.7,-5.7,-6.1,-14.1,-9.5,-7.4,-1.8,4.4,-5.9,5.3,4.4,2.9,-2.7,0.6,2.8,9.8,-0.3,2.9,-3.7,-0.9,0.9,1.1,2,4.3,-0.2,0.9,5.3,-0.7,5.1,0.6,-0.9,4.4,-0.2,2.1,7.4,-0.4,2.5,1.2,10.2,3.1
Arkansas,2.9,1.6,8.2,-1.7,5.9,-2.7,-3.9,-8.7,4.2,1.9,22,-17.1,7.6,-2.3,-6.2,1.3,-12.9,4.8,4,-1.9,14,6.9,0.4,-2.7,2.9,2.1,2.5,-0.6,-0.2,-4.3,-4.5,16.7,0.6,2.8,-0.9,0.7,2.7,2.4,2.5,-5.2,2.9,2.6,0.2,0.4,2.6,-3.2,4.2,1,2.3,-1.9,2.5
California,4.1,5.5,2,8.1,-1,1.4,2.2,-2.7,3.4,3.6,4.8,-7.3,6.3,-1.6,-13,-2.2,-5.2,-1.9,1.2,2.1,2,1.9,8.1,-2.6,0.6,0,1.5,5,2.3,1.5,6.7,-3.3,3.5,5.6,7.4,-0.2,5.4,7,1.2,8.7,4.7,0,2.7,3.6,3.2,4.5,2.6,-0.3,7.4,2,3.4
Colorado,0.3,1.8,-3.7,10.3,-3,5.3,-1.2,1.7,5.9,4.2,10.5,-8.1,3.6,0.2,-6,-1.4,-6.8,3.4,0.7,-2.5,0.9,4.1,6.5,-4.3,1,3.1,3.9,0.4,4.3,-0.8,3,5.5,0.7,4.8,6.3,0.5,6.6,9.1,6.6,1.1,1.6,2,1,-1.8,2.6,5.9,1.2,2.4,3.9,7.9,3.2
Connecticut,4.3,-3.3,2.9,12,-3.7,-1.9,2.8,18,-0.8,2.1,-2.6,12.5,-6.4,-9.8,-22.5,8.3,-0.3,1.3,2.8,-8.2,4.5,0.4,1.2,-8.7,3.3,-4.4,-0.1,2.2,-1.6,-0.5,1.4,-5.8,-3.1,4.2,0.3,-5.9,0.4,2.6,0.6,1.4,3.8,-4,1.1,-0.8,0,0.4,-0.6,-5.5,3.1,4.6,2.4
Delaware,-8.7,-1.1,59,-21.2,6.9,-3.7,-8.1,2.4,12,-10.2,-8.5,-7.8,1.3,-2.2,-2.6,17,4.3,1.6,-8.1,1.1,-6.4,3.4,4.1,1.7,4.7,5.1,-4.3,1.1,-4.4,-4.5,-8.3,-2.2,2.4,2.4,14.2,0.8,8.9,6.7,0.5,7.5,3.1,-7.4,1.4,-7.7,3.5,6,2,2.4,-9.7,13.1,0.2
Florida,3.2,10.8,-0.9,5.6,1.1,-0.1,5.3,-5.8,2.2,3.5,-3.3,-8.4,-2.9,-6.3,-13.2,-5,-4.6,-1,4.9,-2.8,3.2,2.8,1.8,-7.7,3.6,-2.1,2.1,2.3,-2,4.2,-3.3,6.4,-0.3,4.1,5,-0.4,4.3,4.2,2.7,5.1,3.5,4.9,5.3,-2.7,4.2,5.2,1.4,1.8,-0.3,3.2,3.7
Georgia,2.4,0.3,4.6,-1,0.4,3,1,-4.5,4.9,2.4,1.9,-11.6,1.6,-3.6,-11.9,-5,1.8,-1.5,0.4,-0.9,2.4,3.2,4.6,-3.6,1.6,3,2.2,-0.3,2.7,0.2,-2.5,6.2,-2.2,2.3,5.6,0.7,6.3,5.1,1.8,2.4,3.3,2.2,1.7,7.5,-0.5,4.7,4,1.5,1.9,3.9,2.5
