declarationDate,Year,Quarter,state,incidentType,alabama-Q1,alaska-Q1,arkansas-Q1,arizona-Q1,california-Q1,colorado-Q1,connecticut-Q1,delaware-Q1,florida-Q1,georgia-Q1,hawaii-Q1,iowa-Q1,idaho-Q1,illinois-Q1,indiana-Q1,kansas-Q1,kentucky-Q1,louisiana-Q1,massachusetts-Q1,maryland-Q1,maine-Q1,michigan-Q1,minnesota-Q1,missouri-Q1,mississippi-Q1,montana-Q1,northcarolina-Q1,northdakota-Q1,nebraska-Q1,newhampshire-Q1,newjersey-Q1,newmexico-Q1,nevada-Q1,newyork-Q1,ohio-Q1,oklahoma-Q1,oregon-Q1,pennsylvania-Q1,rhodeisland-Q1,southcarolina-Q1,southdakota-Q1,tennessee-Q1,texas-Q1,utah-Q1,virginia-Q1,vermont-Q1,washington-Q1,wisconsin-Q1,westvirginia-Q1,wyoming-Q1
2005-04-01 12:01:00+00:00,2005,2,maine,Snow,5.6,5.9,9.3,2.9,4.1,0.3,4.3,-8.7,3.2,2.4,0.9,3.1,0.8,4.2,2.1,2.1,6,7.3,1.5,3.7,0.2,-0.8,0,1.2,2,-0.3,3.1,12.8,2.9,0.7,2.2,6.4,1.8,2.2,1.2,3.3,0.4,3.4,3.1,2.7,-0.9,1,0.1,4.4,0.2,6.7,6,7.1,2.1,13.1
2005-04-14 20:18:00+00:00,2005,2,california,Severe Storm(s),5.6,5.9,9.3,2.9,4.1,0.3,4.3,-8.7,3.2,2.4,0.9,3.1,0.8,4.2,2.1,2.1,6,7.3,1.5,3.7,0.2,-0.8,0,1.2,2,-0.3,3.1,12.8,2.9,0.7,2.2,6.4,1.8,2.2,1.2,3.3,0.4,3.4,3.1,2.7,-0.9,1,0.1,4.4,0.2,6.7,6,7.1,2.1,13.1
2005-04-14 20:22:00+00:00,2005,2,pennsylvania,Severe Storm(s),5.6,5.9,9.3,2.9,4.1,0.3,4.3,-8.7,3.2,2.4,0.9,3.1,0.8,4.2,2.1,2.1,6,7.3,1.5,3.7,0.2,-0.8,0,1.2,2,-0.3,3.1,12.8,2.9,0.7,2.2,6.4,1.8,2.2,1.2,3.3,0.4,3.4,3.1,2.7,-0.9,1,0.1,4.4,0.2,6.7,6,7.1,2.1,13.1
2005-04-14 20:26:00+00:00,2005,2,arizona,Severe Storm(s),5.6,5.9,9.3,2.9,4.1,0.3,4.3,-8.7,3.2,2.4,0.9,3.1,0.8,4.2,2.1,2.1,6,7.3,1.5,3.7,0.2,-0.8,0,1.2,2,-0.3,3.1,12.8,2.9,0.7,2.2,6.4,1.8,2.2,1.2,3.3,0.4,3.4,3.1,2.7,-0.9,1,0.1,4.4,0.2,6.7,6,7.1,2.1,13.1
2005-04-19 15:47:00+00:00,2005,2,south dakota,Fire,5.6,5.9,9.3,2.9,4.1,0.3,4.3,-8.7,3.2,2.4,0.9,3.1,0.8,4.2,2.1,2.1,6,7.3,1.5,3.7,0.2,-0.8,0,1.2,2,-0.3,3.1,12.8,2.9,0.7,2.2,6.4,1.8,2.2,1.2,3.3,0.4,3.4,3.1,2.7,-0.9,1,0.1,4.4,0.2,6.7,6,7.1,2.1,13.1
2005-04-19 20:41:00+00:00,2005,2,new jersey,Severe Storm(s),5.6,5.9,9.3,2.9,4.1,0.3,4.3,-8.7,3.2,2.4,0.9,3.1,0.8,4.2,2.1,2.1,6,7.3,1.5,3.7,0.2,-0.8,0,1.2,2,-0.3,3.1,12.8,2.9,0.7,2.2,6.4,1.8,2.2,1.2,3.3,0.4,3.4,3.1,2.7,-0.9,1,0.1,4.4,0.2,6.7,6,7.1,2.1,13.1
2005-04-19 20:41:00+00:00,2005,2,new york,Severe Storm(s),5.6,5.9,9.3,2.9,4.1,0.3,4.3,-8.7,3.2,2.4,0.9,3.1,0.8,4.2,2.1,2.1,6,7.3,1.5,3.7,0.2,-0.8,0,1.2,2,-0.3,3.1,12.8,2.9,0.7,2.2,6.4,1.8,2.2,1.2,3.3,0.4,3.4,3.1,2.7,-0.9,1,0.1,4.4,0.2,6.7,6,7.1,2.1,13.1
2005-04-28 00:00:00+00:00,2005,2,new hampshire,Snow,5.6,5.9,9.3,2.9,4.1,0.3,4.3,-8.7,3.2,2.4,0.9,3.1,0.8,4.2,2.1,2.1,6,7.3,1.5,3.7,0.2,-0.8,0,1.2,2,-0.3,3.1,12.8,2.9,0.7,2.2,6.4,1.8,2.2,1.2,3.3,0.4,3.4,3.1,2.7,-0.9,1,0.1,4.4,0.2,6.7,6,7.1,2.1,13.1
2005-05-26 21:48:00+00:00,2005,2,arizona,Fire,5.6,5.9,9.3,2.9,4.1,0.3,4.3,-8.7,3.2,2.4,0.9,3.1,0.8,4.2,2.1,2.1,6,7.3,1.5,3.7,0.2,-0.8,0,1.2,2,-0.3,3.1,12.8,2.9,0.7,2.2,6.4,1.8,2.2,1.2,3.3,0.4,3.4,3.1,2.7,-0.9,1,0.1,4.4,0.2,6.7,6,7.1,2.1,13.1
2005-06-23 16:00:00+00:00,2005,2,nebraska,Severe Storm(s),5.6,5.9,9.3,2.9,4.1,0.3,4.3,-8.7,3.2,2.4,0.9,3.1,0.8,4.2,2.1,2.1,6,7.3,1.5,3.7,0.2,-0.8,0,1.2,2,-0.3,3.1,12.8,2.9,0.7,2.2,6.4,1.8,2.2,1.2,3.3,0.4,3.4,3.1,2.7,-0.9,1,0.1,4.4,0.2,6.7,6,7.1,2.1,13.1
